category,price_tier_hint,title,brand,price,rating,reviewCount,image,asin
mobile,under 10000,,,,,,,
mobile,under 15000,,,,,,,
mobile,under 20000,,,,,,,
mobile,under 25000,,,,,,,
mobile,under 30000,,,,,,,
earbuds,under 2000,,,,,,,
earbuds,under 3000,,,,,,,
earbuds,under 4000,,,,,,,
earbuds,under 5000,,,,,,,
tv,under 20000,,,,,,,
tv,under 30000,,,,,,,
tv,under 40000,,,,,,,
tv,under 50000,,,,,,,
refrigerator,under 20000,,,,,,,
refrigerator,under 30000,,,,,,,
refrigerator,under 40000,,,,,,,
refrigerator,under 50000,,,,,,,
ac,under 20000,,,,,,,
ac,under 30000,,,,,,,
ac,under 40000,,,,,,,
ac,under 50000,,,,,,,
